,head,head_replaced,head_translated
13868,and apple,and apple,以及苹果
13869,headshot,headshot,爆头
13870,read news,read news,阅读新闻
13871,whiskey,whiskey,威士忌酒
13872,cortisone,cortisone,可的松
13873,trail guide,trail guide,导游
13874,open menu,open menu,开放菜单
13875,endpoint,endpoint,端点
13876,red dust,red dust,红尘
13877,paper towl,paper towl,纸托
13878,game piece,game piece,游戏片段
13879,dried leaves,dried leaves,干叶
13880,back pocket,back pocket,后袋
13881,dwarf,dwarf,矮子
13882,houses,houses,房屋
13883,tablet or laptop,tablet or laptop,平板电脑或笔记本电脑
13884,director,director,主管
13885,concrete pad,concrete pad,混凝土衬垫
13886,professional basketball player,professional basketball player,职业篮球运动员
13887,bunsen burner,bunsen burner,本生灯
13888,large amount of trash,large amount of trash,大量的垃圾
13889,election day,election day,选举日
13890,gymnasium,gymnasium,体育馆
13891,bills,bills,账单
13892,wait in line,wait in line,排队等候
13893,car websites,car websites,汽车网站
13894,editor,editor,编辑
13895,windex,windex,windex
13896,scenery,scenery,风景
13897,morning paper,morning paper,晨报
13898,fight,fight,战斗
13899,plutonium,plutonium,钚
13900,boy,boy,男孩
13901,cent,cent,分
13902,utterance,utterance,说话
13903,spackle,spackle,麻布
13904,insecure man,insecure man,缺乏安全感的男人
13905,cigarrete,cigarrete,奇加雷特
13906,lots of land,lots of land,很多土地
13907,alert device,alert device,警报装置
13908,act in play,act in play,在游戏中表演
13909,dirty plates,dirty plates,脏盘子
13910,vase,vase,花瓶
13911,boing to card game,boing to card game,玩纸牌游戏
13912,hairpins,hairpins,发夹
13913,knick knack,knick knack,小摆设
13914,airlock,airlock,气塞
13915,bachelor's degree,bachelor's degree,学士学位
13916,triage,triage,伤病员鉴别分类
13917,drones,drones,无人驾驶飞机
13918,workplace,workplace,工作场所
13919,six pack,six pack,六块
13920,movie guide,movie guide,电影指南
13921,carrier pigeon,carrier pigeon,信鸽
13922,protection,protection,保护
13923,victoria,victoria,维多利亚
13924,digital library,digital library,数字图书馆
13925,detention slip,detention slip,拘留单
13926,childcare certificate,childcare certificate,儿童保育证书
13927,enrollment fee,enrollment fee,报名费
13928,key fob,key fob,主要离岸价
13929,cds,cds,光盘
13930,shinguards,shinguards,浅语
13931,artist,artist,艺术家
13932,soda company,soda company,汽水公司
13933,entry fee,entry fee,报名费
13934,dust,dust,灰尘
13935,guard dog,guard dog,看门狗
13936,whisk,whisk,搅拌
13937,macaroni salad,macaroni salad,通心粉沙拉
13938,car dealer,car dealer,汽车经销商
13939,pork,pork,猪肉
13940,have itch,have itch,发痒
13941,conch,conch,海螺壳
13942,non fatty food,non fatty food,非脂肪食物
13943,security,security,安全
13944,bottle of whiskey,bottle of whiskey,一瓶威士忌
13945,tidy costume,tidy costume,整洁的服装
13946,cocktail cabinet,cocktail cabinet,鸡尾酒柜
13947,spare set,spare set,备件
13948,radiator cap,radiator cap,散热器盖
13949,mushroom,mushroom,蘑菇
13950,specific shoes,specific shoes,专用鞋
13951,numbered bib,numbered bib,编号围兜
13952,them,them,他们
13953,wishlist,wishlist,愿望清单
13954,multicultural cuisine,multicultural cuisine,多元文化烹饪
13955,duplex,duplex,复式住宅
13956,blueprint,blueprint,蓝图
13957,open yard,open yard,露天庭院
13958,transportaton,transportaton,运输
13959,lot,lot,很多
13960,car or motorbike,car or motorbike,汽车或摩托车
13961,seedling,seedling,幼苗
13962,get fat,get fat,发胖
13963,fuselage,fuselage,机身
13964,glass of milk,glass of milk,一杯牛奶
13965,controller,controller,控制器
13966,tractor,tractor,拖拉机
13967,client,client,客户
13968,cherry flavored drops,cherry flavored drops,樱桃味水滴
13969,beachball,beachball,沙滩排球
13970,salad fork,salad fork,沙拉叉
13971,knife block,knife block,刀架
13972,damage to brain,damage to brain,脑损伤
13973,fight enemy,fight enemy,与敌人作战
13974,store bag,store bag,储物袋
13975,pluto,pluto,冥王星
13976,blue ray player,blue ray player,蓝光播放器
13977,taxi meter,taxi meter,出租车计价器
13978,wooden frame,wooden frame,木架
13979,peck,peck,啄
13980,grandpa,grandpa,爷爷
13981,drill in,drill in,钻进去
13982,black shoes,black shoes,黑鞋
13983,tuna,tuna,金枪鱼
13984,handset,handset,电话听筒
13985,cough syrup,cough syrup,止咳糖浆
13986,jew harp,jew harp,犹太竖琴
13987,dishwashing soap,dishwashing soap,洗碗皂
13988,mine,mine,我的
13989,granny smith,granny smith,史密斯奶奶苹果
13990,earbud,earbud,耳塞
13991,watch,watch,看
13992,castaway,castaway,船难后漂流至孤岛的人
13993,electri,electri,伊莱克特拉
13994,eye-drops,eye-drops,眼药水
13995,scrap food,scrap food,废弃食品
13996,cozies,cozies,cozies
13997,jeweler's loupe,jeweler's loupe,珠宝商百叶窗
13998,performer,performer,表演者
13999,marmoset in,marmoset in,狨猴
14000,checkout notice,checkout notice,退房通知
14001,consumer,consumer,消费者
14002,calorie counter,calorie counter,卡路里计数器
14003,hair conditioner,hair conditioner,护发素
14004,brewer,brewer,啤酒制造商
14005,google scholar,google scholar,谷歌学者
14006,loneliness,loneliness,孤独
14007,label,label,标签
14008,backdrop,backdrop,背景
14009,mime,mime,哑剧
14010,rosin,rosin,松香
14011,knob handle,knob handle,旋钮柄
14012,raw vegetables,raw vegetables,生蔬菜
14013,sheet musi,sheet musi,薄纱
14014,bubble bath,bubble bath,泡沫浴液
14015,ties,ties,领带
14016,ibuprofen,ibuprofen,布洛芬
14017,movie star,movie star,电影明星
14018,vin number,vin number,车辆识别号码
14019,scrunchie,scrunchie,斯克鲁奇
14020,oracle,oracle,甲骨文
14021,taxi fare,taxi fare,的士费
14022,fake id,fake id,假身份证
14023,collars,collars,衣领
14024,advice,advice,建议
14025,tissue paper,tissue paper,薄纸
14026,gold,gold,金
14027,googles,googles,谷歌
14028,free time,free time,空闲时间
14029,acoustic ceiling,acoustic ceiling,吸音天花板
14030,floor,floor,地板
14031,scrub,scrub,擦洗
14032,iron chin,iron chin,铁下巴
14033,swatches of fabric,swatches of fabric,织物样本
14034,java maker,java maker,java maker
14035,titanium,titanium,钛
14036,bunch of flowers,bunch of flowers,一束鲜花
14037,highligher,highligher,荧光粉
14038,busy person,busy person,大忙人
14039,drivers's license,drivers's license,驾驶执照
14040,government,government,政府
14041,hairstylist,hairstylist,发型设计师
14042,cabinets,cabinets,橱
14043,drivers' license,drivers' license,驾驶执照
14044,truck driver,truck driver,卡车司机
14045,email address,email address,电邮地址
14046,some liquid,some liquid,一些液体
14047,xylophone,xylophone,木琴
14048,acne medication,acne medication,痤疮药物
14049,garden,garden,花园
14050,chiffonier,chiffonier,小衣橱
14051,pitchfork,pitchfork,干草叉
14052,dryer sheets,dryer sheets,烘干机床单
14053,good beer,good beer,好啤酒
14054,ashes,ashes,灰烬
14055,opener,opener,开瓶器
14056,nail brush,nail brush,指甲刷
14057,plug,plug,插头
14058,counter top,counter top,台面
14059,pitching mound,pitching mound,投球丘
14060,dough,dough,生面团
14061,pears,pears,梨
14062,water spigot,water spigot,水龙头
14063,computer desk,computer desk,电脑桌
14064,aloe vera gel,aloe vera gel,芦荟凝胶
14065,gregarious person,gregarious person,合群的人
14066,safety rope,safety rope,安全绳
14067,extra cash,extra cash,额外现金
14068,electric socket in,electric socket in,电源插座
14069,breakfast lunch and dinner,breakfast lunch and dinner,早餐、午餐和晚餐
14070,sulfur,sulfur,硫磺
14071,golf bag,golf bag,高尔夫球袋
14072,worm,worm,虫
14073,lunchbag,lunchbag,午餐袋
14074,tackle shop,tackle shop,铲车车间
14075,loafers,loafers,游手好闲者
14076,spare paper,spare paper,备用纸
14077,empty car,empty car,空车
14078,jerk,jerk,混蛋
14079,sigh,sigh,叹息
14080,ice-pack,ice-pack,冰袋
14081,language student,language student,学语言的学生
14082,ointment,ointment,药膏
14083,prisoner,prisoner,囚犯
14084,wannabe artist,wannabe artist,想成为艺术家
14085,biography,biography,传记
14086,restaurant guide,restaurant guide,餐厅指南
14087,pinball machine,pinball machine,弹球机
14088,glory,glory,荣耀
14089,pleasure garden,pleasure garden,万乐花园
14090,radio station,radio station,电台
14091,steam,steam,蒸汽
14092,seatbelts,seatbelts,安全带
14093,other test materials,other test materials,其他测试材料
14094,press button,press button,按钮开关
14095,romance,romance,浪漫
14096,some markers,some markers,一些标记
14097,electric supply,electric supply,电力供应
14098,ladders,ladders,梯子
14099,mobster,mobster,匪徒
14100,oxygen tank,oxygen tank,氧气罐
14101,proofreader,proofreader,校对员
14102,partner,partner,伙伴
14103,intel,intel,信息
14104,muumuu,muumuu,穆穆袍
14105,maid,maid,女仆
14106,qualification,qualification,资格
14107,rx pads,rx pads,rx焊盘
14108,caffine,caffine,咖啡
14109,charging cord,charging cord,充电线
14110,heating pad,heating pad,加热垫
14111,key storage,key storage,钥匙储存
14112,florist shop,florist shop,花店
14113,eat orange,eat orange,吃橘子
14114,charity slip,charity slip,慈善款
14115,alert jogger,alert jogger,警惕慢跑者
14116,extra booklets,extra booklets,额外小册子
14117,stomach acid,stomach acid,胃酸
14118,space needle,space needle,太空针
14119,propane,propane,丙烷
14120,ticket turnstile,ticket turnstile,门票旋转栅门
14121,old car,old car,旧车
14122,airline,airline,航空公司
14123,amphitheatre,amphitheatre,圆形凹地
14124,diver,diver,潜水员
14125,fitness apparel,fitness apparel,健身服
14126,hot dog vendor,hot dog vendor,卖热狗的小贩
14127,set of china,set of china,一套瓷器
14128,air freshener,air freshener,空气清新剂
14129,box of tablets,box of tablets,一盒药片
14130,charcole,charcole,查可尔
14131,automatic gate,automatic gate,自动闸门
14132,creative work,creative work,创造性工作
14133,invoices,invoices,发票
14134,tortillas,tortillas,玉米饼
14135,headliner,headliner,主角
14136,goverment,goverment,政府
14137,hair tie,hair tie,发带
14138,racetrack,racetrack,跑道
14139,wedding cake,wedding cake,结婚蛋糕
14140,old keyboard,old keyboard,旧键盘
14141,good worker,good worker,好工人
14142,stomach,stomach,胃
14143,new knowledge,new knowledge,新知识
14144,famine,famine,饥荒
14145,bottle cap,bottle cap,瓶盖
14146,smile of child,smile of child,孩子的微笑
14147,pill,pill,药丸
14148,golf shoes,golf shoes,高尔夫球鞋
14149,combat boots,combat boots,战斗靴
14150,athena,athena,雅典娜
14151,play poker,play poker,打扑克
14152,holy book,holy book,圣书
14153,enterntainment center,enterntainment center,娱乐中心
14154,sciddors,sciddors,sciddors
14155,housekeeper,housekeeper,管家
14156,jar of ketchup,jar of ketchup,一罐番茄酱
14157,digestive system,digestive system,消化系统
14158,novel,novel,小说
14159,only brave person,only brave person,只有勇敢的人
14160,old ipad,old ipad,旧ipad
14161,landscape,landscape,景观
14162,pay packet,pay packet,薪水
14163,rubber eraser,rubber eraser,橡皮橡皮擦
14164,duct tape,duct tape,强力胶带
14165,fax machine,fax machine,传真机
14166,loaf and fish,loaf and fish,面包和鱼
14167,have blind faith,have blind faith,盲目相信
14168,nurse,nurse,护士
14169,worrisome person,worrisome person,令人担心的人
14170,stirrupss,stirrupss,斯特鲁普
14171,deacon,deacon,执事
14172,musical notation,musical notation,乐谱
14173,coffe maker,coffe maker,咖啡机
14174,bodywash,bodywash,沐浴露
14175,box of files,box of files,文件箱
14176,womb,womb,子宫
14177,auditorium,auditorium,礼堂
14178,iguana,iguana,鬣蜥
14179,greengrocer,greengrocer,蔬菜水果商
14180,counsellor,counsellor,顾问
14181,rental unit,rental unit,租金股
14182,aa pass,aa pass,aa通行证
14183,dairy products,dairy products,乳制品
14184,lonely bride,lonely bride,孤独的新娘
14185,safari hat,safari hat,野生动物园帽
14186,kiss,kiss,吻
14187,cycle,cycle,周期
14188,couple,couple,夫妇
14189,interior area,interior area,内部面积
14190,garbage cans,garbage cans,垃圾桶
14191,blink,blink,眨
14192,drivers license,drivers license,驾驶执照
14193,grow,grow,成长
14194,bell hop,bell hop,贝尔霍普
14195,baseball player,baseball player,棒球运动员
14196,licence,licence,执照
14197,architect,architect,建筑师
14198,piccolo,piccolo,短笛
14199,onboarding paperwork,onboarding paperwork,入职文书
14200,dress shoe,dress shoe,正装鞋
14201,blackout curtains,blackout curtains,遮光窗帘
14202,temporary tags,temporary tags,临时标签
14203,safe,safe,安全的
14204,reading light,reading light,阅读灯
14205,handcuffs,handcuffs,手铐
14206,valve,valve,阀
14207,tape recorder,tape recorder,录音机
14208,brush,brush,刷
14209,old discarded ticket,old discarded ticket,旧废票
14210,tenant,tenant,租户
14211,hockey,hockey,曲棍球
14212,ski mask,ski mask,滑雪面罩
14213,wife,wife,妻子
14214,midwife,midwife,助产士
14215,classes,classes,课程
14216,disneyland,disneyland,迪斯尼乐园
14217,pen and pencil holder,pen and pencil holder,钢笔和笔筒
14218,bob jones university,bob jones university,鲍勃·琼斯大学
14219,satchal,satchal,萨查勒
14220,tie rack,tie rack,系带架
14221,item,item,项目
14222,rusty can,rusty can,生锈罐头
14223,geography game,geography game,地理游戏
14224,read magazine,read magazine,阅读杂志
14225,trick,trick,技巧
14226,hindsight,hindsight,后见之明
14227,accomadations,accomadations,住宿
14228,false teeth,false teeth,假牙
14229,consciousness,consciousness,意识
14230,dugout,dugout,独木舟
14231,pop,pop,流行的
14232,new one,new one,新的
14233,do housework,do housework,做家务
14234,election observer,election observer,选举观察员
14235,eucalyptus,eucalyptus,桉树
14236,natto,natto,纳豆
14237,coupon book,coupon book,优惠券簿
14238,joint,joint,接头
14239,work van,work van,工作车
14240,calligrapher,calligrapher,书法家
14241,throw party,throw party,举办派对
14242,trophy,trophy,奖杯
14243,fingernail file,fingernail file,指甲锉
14244,police man,police man,警察
14245,subway,subway,地铁
14246,charger,charger,充电器
14247,electric razor,electric razor,电动剃须刀
14248,paper roll,paper roll,纸卷
14249,passenger compartment,passenger compartment,客舱
14250,city native,city native,城市本地人
14251,vodka,vodka,伏特加
14252,mats,mats,席子
14253,nappy,nappy,尿布
14254,septic tank,septic tank,化粪池
14255,warehouseman,warehouseman,仓库管理人
14256,month of january,month of january,一月月份
14257,mohair,mohair,马海毛
14258,area 51,area 51,第51区
14259,bureaucracy,bureaucracy,官僚主义
14260,morning,morning,早晨
14261,hinges,hinges,铰链
14262,hurt others,hurt others,伤害他人
14263,bandana,bandana,班达纳
14264,noose,noose,套索
14265,paper towels,paper towels,纸巾
14266,club soda,club soda,苏打水
14267,special clothes,special clothes,特殊服装
14268,noodle,noodle,面条
14269,questionaires,questionaires,询问人
14270,class room,class room,教室
14271,sleeping pill,sleeping pill,安眠药
14272,tom,tom,汤姆
14273,sail,sail,航行
14274,pencil or pen,pencil or pen,铅笔或钢笔
14275,ass,ass,屁股
14276,under water diver,under water diver,水下潜水员
14277,filing,filing,归档
14278,creator,creator,创造者
14279,purgative,purgative,通便的
14280,breakfast food,breakfast food,早餐食品
14281,shower curtain,shower curtain,浴帘
14282,ice machine,ice machine,制冰机
14283,cooking pan,cooking pan,炒锅
14284,client list,client list,客户名单
14285,tubs,tubs,浴缸
14286,face cover,face cover,面罩
14287,cook book,cook book,烹饪书
14288,participation number,participation number,参与人数
14289,delivery menu,delivery menu,送货单
14290,nose,nose,鼻子
14291,first violin,first violin,第一小提琴
14292,old milk,old milk,老牛奶
14293,warm welcome,warm welcome,热烈欢迎
14294,dandelions,dandelions,蒲公英
14295,guitars,guitars,吉他
14296,gymnastics,gymnastics,体操
14297,satire,satire,讽刺
14298,dress well,dress well,穿着得体
14299,private detective,private detective,私人侦探
14300,lazer tag vest,lazer tag vest,lazer吊牌背心
14301,bowel,bowel,肠
14302,skilled lathe operator,skilled lathe operator,熟练车工
14303,bare rock and snow,bare rock and snow,裸露的岩石和雪
14304,wall mirror,wall mirror,壁镜
14305,sculpture,sculpture,雕塑
14306,rollers,rollers,滚轮
14307,leader,leader,领导者
14308,reflective device,reflective device,反射装置
14309,missing item,missing item,遗失物品
14310,pilot's license,pilot's license,飞行员执照
14311,acow,acow,acow
14312,lean meats,lean meats,瘦肉
14313,fix computer,fix computer,修理电脑
14314,toilet seat,toilet seat,马桶座圈
14315,lock,lock,锁
14316,revive potion,revive potion,复苏药剂
14317,ad,ad,广告
14318,syringe,syringe,注射器
14319,sign painter,sign painter,标牌油漆工
14320,copy paper,copy paper,复印纸
14321,sunhat,sunhat,遮阳帽
14322,garage code,garage code,车库代码
14323,burlap sacks,burlap sacks,麻袋
14324,tennis shoes,tennis shoes,网球鞋
14325,small cloth,small cloth,小布
14326,yoyo,yoyo,育育
14327,rule in,rule in,确定
14328,hedgehog,hedgehog,刺猬
14329,terrace,terrace,阳台
14330,barf bag,barf bag,呕吐袋
14331,vacumn,vacumn,真空
14332,black shirt,black shirt,黑色衬衫
14333,word lie,word lie,字字谎言
14334,look out,look out,留神
14335,stop watch,stop watch,站岗
14336,hyperbole,hyperbole,夸张
14337,price of gold,price of gold,黄金价格
14338,wrapping paper,wrapping paper,包装纸
14339,shop,shop,商店
14340,rain,rain,雨
14341,holes,holes,洞
14342,learn to sail,learn to sail,学会航海
14343,menstruation,menstruation,行经
14344,appointment calendar,appointment calendar,任用日历
14345,canopy,canopy,顶篷
14346,foundation,foundation,基金会
14347,charts and graphs,charts and graphs,图表和图表
14348,bubble gum,bubble gum,泡泡糖
14349,fishing rod,fishing rod,渔竿
14350,play basketball,play basketball,打篮球
14351,suit jacket,suit jacket,西装外套
14352,arcane,arcane,神秘的
14353,substitute teacher,substitute teacher,代课老师
14354,catalog,catalog,目录
14355,neckwear,neckwear,颈部服饰
14356,miner,miner,矿工
14357,selection,selection,选择
14358,pet license,pet license,宠物许可证
14359,support pole,support pole,支撑杆
14360,law of land,law of land,土地法
14361,computer information,computer information,计算机信息
14362,antivenin,antivenin,抗蛇毒血清
14363,test materials,test materials,试验材料
14364,dead bird,dead bird,死鸟
14365,spot light,spot light,聚光灯
14366,styrofoam,styrofoam,聚苯乙烯泡沫塑料
14367,agoraphobes,agoraphobes,土拨鼠
14368,dvd player,dvd player,DVD播放机
14369,online access,online access,在线访问
14370,deer rifle,deer rifle,鹿步枪
14371,mount hood,mount hood,胡德山
14372,gingerroot,gingerroot,姜根
14373,foresail,foresail,前帆
14374,sentimental fool,sentimental fool,多愁善感的傻瓜
14375,bottle of bourbon,bottle of bourbon,一瓶波旁威士忌
14376,gambling money,gambling money,赌资
14377,pic,pic,照片
14378,campaign worker,campaign worker,竞选工作人员
14379,model,model,模型
14380,some thread,some thread,一些线
14381,post it notes,post it notes,张贴便条
14382,stocks,stocks,库存
14383,jockstrap,jockstrap,下体护身
14384,clown fish,clown fish,小丑鱼
14385,dental technician,dental technician,牙科技术员
14386,mittens,mittens,连指手套
14387,pointed stick,pointed stick,尖棍
14388,surfboard,surfboard,冲浪板
14389,emergency flashers,emergency flashers,紧急闪光灯
14390,eunuch,eunuch,太监
14391,silice,silice,西利斯
14392,spiral,spiral,螺旋
14393,bassinette,bassinette,巴辛内特
14394,telephone system,telephone system,电话系统
14395,lemon peel,lemon peel,柠檬皮
14396,grasper,grasper,抓紧器
14397,relieable brochure,relieable brochure,可靠的小册子
14398,knoledge,knoledge,诺尔缘
14399,defibrillator,defibrillator,除颤器
14400,rental space,rental space,租用场地
14401,vituperative person,vituperative person,谩骂的人
14402,avocado,avocado,鳄梨
14403,birthday present,birthday present,生日礼物
14404,negotiator,negotiator,谈判代表
14405,tool,tool,工具
14406,mount shasta,mount shasta,沙斯塔山
14407,dial telephone number,dial telephone number,拨号电话号码
14408,order pizza,order pizza,订购比萨饼
14409,human head,human head,人头
14410,numbered jersey,numbered jersey,编号球衣
14411,less gravity than on earth,less gravity than on earth,重力比地球小
14412,chalksticks,chalksticks,粉笔
14413,models,models,模型
14414,ball,ball,球
14415,dealer,dealer,商人
14416,marble,marble,大理石
14417,guy,guy,家伙
14418,shiner,shiner,青肿眼眶
14419,indian mango chutney,indian mango chutney,印度芒果酸辣酱
14420,railroad track,railroad track,铁路轨道
14421,separate shower,separate shower,独立淋浴间
14422,atist,atist,阿斯特
14423,lease agreement,lease agreement,租赁协议
14424,cue ball,cue ball,母球
14425,signpainter,signpainter,签名人
14426,addiction,addiction,毒瘾
14427,furnace,furnace,熔炉
14428,box of chalk,box of chalk,粉笔盒
14429,caffeine,caffeine,咖啡因
14430,play lacrosse,play lacrosse,打曲棍球
14431,cutlery drawer,cutlery drawer,餐具抽屉
14432,cranberry walnut chutney,cranberry walnut chutney,蔓越莓核桃酸辣酱
14433,polyurathane,polyurathane,聚脲
14434,nazi,nazi,纳粹党
14435,record book,record book,记录簿
14436,homeless person,homeless person,无家可归的人
14437,optomist,optomist,眼科医师
14438,skimask,skimask,斯克马斯克
14439,messaging app,messaging app,短信应用
14440,fresh nappie,fresh nappie,纳皮
14441,pretty dress,pretty dress,漂亮的裙子
14442,roster,roster,花名册
14443,hooter,hooter,汽笛
14444,snob,snob,势利小人
14445,usb stick,usb stick,U盘
14446,desk lamp,desk lamp,台灯
14447,bowl,bowl,碗
14448,pot holder,pot holder,锅架
14449,short bus,short bus,短程巴士
14450,skeleton,skeleton,骨骼
14451,dog toys,dog toys,狗玩具
14452,internet router,internet router,因特网路由器
14453,lawnmover,lawnmover,割草机
14454,filling,filling,填料
14455,claws,claws,爪
14456,newpaper,newpaper,报纸
14457,dental drill,dental drill,牙钻
14458,have heart attack,have heart attack,心脏病发作
14459,gait belt,gait belt,步态带
14460,shovels,shovels,铲子
14461,basin,basin,盆地
14462,large customer,large customer,大客户
14463,infidelity,infidelity,不忠实
14464,lingery,lingery,内衣
14465,tshirt,tshirt,T恤衫
14466,giga,giga,吉加
14467,boxing bag,boxing bag,拳击袋
14468,nucleus,nucleus,核
14469,watch movie,watch movie,看电影
14470,credit book,credit book,信用簿
14471,birth control,birth control,节育
14472,nerves,nerves,神经
14473,easter eggs,easter eggs,复活节彩蛋
14474,work,work,工作
14475,honeybee,honeybee,蜜蜂
14476,belief in god,belief in god,信仰上帝
14477,goods,goods,商品
14478,wet washrag,wet washrag,湿毛巾
14479,enigma,enigma,难解之谜
14480,club id card,club id card,俱乐部身份证
14481,lighting,lighting,照明
14482,extension cord,extension cord,延长线
14483,dog shampoo,dog shampoo,狗香波
14484,side show,side show,边秀
14485,college,college,大学
14486,skewer,skewer,串肉扦
14487,someone else's footwear,someone else's footwear,别人的鞋子
14488,sun block,sun block,防晒乳
14489,fast runner,fast runner,快跑者
14490,original puchase,original puchase,原普切斯
14491,hymnbook,hymnbook,赞美诗集
14492,superglue,superglue,强力胶
14493,winter jacket,winter jacket,冬季夹克
14494,financial papers,financial papers,财务文件
14495,front yard,front yard,前院
14496,equipment,equipment,设备
14497,snapchat account,snapchat account,snapchat帐户
14498,wooden box,wooden box,木箱
14499,garbage can in,garbage can in,垃圾箱
14500,spedometer,spedometer,测速仪
14501,cement or stucco,cement or stucco,水泥或灰泥
14502,acrylic medium,acrylic medium,丙烯酸介质
14503,doctor's excuse,doctor's excuse,医生的借口
14504,glasses,glasses,眼镜
14505,atm,atm,自动取款机
14506,herringbone,herringbone,鲱骨式图案
14507,with wing bird,with wing bird,有翅膀的鸟
14508,fishing gear,fishing gear,渔具
14509,rung,rung,横档
14510,purple heart,purple heart,紫心勋章
14511,louvre,louvre,百叶窗板
14512,bus,bus,公共汽车
14513,signup sheet,signup sheet,报名表
14514,arial,arial,天线
14515,pedestrian crossing,pedestrian crossing,人行横道
14516,insulated parka,insulated parka,绝缘皮大衣
14517,clown suit,clown suit,小丑服
14518,klenex,klenex,克莱尼克斯
14519,botanist,botanist,植物学家
14520,speculum,speculum,扩张器
14521,upturned box,upturned box,上翻箱
14522,hot mango chutney,hot mango chutney,热芒果酸辣酱
14523,game system,game system,游戏系统
14524,dealership,dealership,特许经销商
14525,remote controls,remote controls,遥控
14526,reflective gear,reflective gear,反光齿轮
14527,suitor,suitor,男性追求者
14528,smart farmer,smart farmer,聪明的农民
14529,ladle,ladle,舀
14530,noise maker,noise maker,噪音制造机
14531,play game,play game,玩游戏
14532,medals,medals,奖章
14533,sometimes even underachiever,sometimes even underachiever,有时甚至是后进生
14534,generator,generator,发电机
14535,little black dress,little black dress,小黑裙
14536,ruin movie,ruin movie,毁灭电影
14537,slinkies,slinkies,slinkies
14538,ephemeral,ephemeral,短暂的
14539,plant life,plant life,植物寿命
14540,beef,beef,牛肉
14541,scrub brush,scrub brush,擦洗刷
14542,powerful men,powerful men,有权势的人
14543,mouth wash,mouth wash,漱口水
14544,word digit,word digit,字数
14545,spray,spray,喷雾
14546,will communicate,will communicate,会沟通
14547,impresario,impresario,经理
14548,pen,pen,笔
14549,capital,capital,首都
14550,polar beer,polar beer,极地啤酒
14551,suits,suits,西服
14552,vegetable peeler,vegetable peeler,蔬菜去皮机
14553,motor craft,motor craft,机动艇
14554,cosmetics,cosmetics,化妆品
14555,tuning device,tuning device,调谐装置
14556,ironing board,ironing board,烫衣板
14557,index card cabinet,index card cabinet,索引卡柜
14558,book or paper,book or paper,书或纸
14559,desk phone,desk phone,前台电话
14560,bottle of pills,bottle of pills,药瓶
14561,chief,chief,首领
14562,gym teacher,gym teacher,体育老师
14563,welcome email,welcome email,欢迎电邮
14564,die,die,死亡
14565,kyushu,kyushu,九州
14566,artpiece,artpiece,艺术品
14567,profesional disintrest,profesional disintrest,专业调查
14568,understand,understand,理解
14569,hot pad,hot pad,热垫
14570,laces,laces,鞋带
14571,hypodermic needle,hypodermic needle,皮下注射针
14572,gallon jug,gallon jug,加仑罐
14573,piece of change,piece of change,一块零钱
14574,bookmarks,bookmarks,书签
14575,have rest,have rest,休息一下
14576,basement,basement,地下室
14577,wall swatch,wall swatch,墙壁样本
14578,climbing shoes,climbing shoes,登山鞋
14579,thermostat,thermostat,恒温器
14580,skis,skis,滑雪板
14581,cape,cape,披风
14582,highlighter pen,highlighter pen,荧光笔
14583,published paper,published paper,已发表的论文
14584,grandma,grandma,奶奶
14585,public,public,公共的
14586,polish,polish,抛光
14587,drama,drama,戏剧
14588,skylight,skylight,天窗
14589,skilled actor,skilled actor,技艺高超的演员
14590,spanish book,spanish book,西班牙文书籍
14591,strong leader,strong leader,强有力的领导者
14592,tables,tables,表格
14593,kelp,kelp,巨藻
14594,credit on account,credit on account,赊账
14595,fire escape,fire escape,安全梯
14596,phone battery,phone battery,手机电池
14597,crazy woman,crazy woman,疯女人
14598,trap,trap,陷阱
14599,expert,expert,专家
14600,eyelash primer,eyelash primer,睫毛底漆
14601,old woman,old woman,老妇人
14602,world traveler,world traveler,世界旅行者
14603,large box,large box,大箱子
14604,paints,paints,油漆
14605,letter from ed mcmahon,letter from ed mcmahon,埃德·麦克马洪的信
14606,food,food,食物
14607,feel bad,feel bad,感觉不好
14608,laundry mat,laundry mat,洗衣垫
14609,ferrari,ferrari,法拉利
14610,good food,good food,好吃的
14611,social media accounts,social media accounts,社交媒体账户
14612,foor,foor,福尔
14613,unhatched chickens,unhatched chickens,未孵化的鸡
14614,physical card,physical card,实物卡
14615,tetanus jab,tetanus jab,破伤风刺戳
14616,keepsake,keepsake,纪念品
14617,crayon box,crayon box,蜡笔盒
14618,proof of insurance,proof of insurance,保险证明
14619,some equipment,some equipment,一些设备
14620,pack of cigarettes,pack of cigarettes,一包香烟
14621,in asian cuisine wok,in asian cuisine wok,在亚洲料理中
14622,bicycle horn,bicycle horn,自行车喇叭
14623,wisdom,wisdom,智慧
14624,tv screen,tv screen,电视屏幕
14625,isle,isle,岛
14626,rolls-royce,rolls-royce,劳斯莱斯
14627,life insurance,life insurance,人寿保险
14628,maps app,maps app,地图应用程序
14629,fountain pen available,fountain pen available,提供钢笔
14630,homework paper,homework paper,作业纸
14631,bag of dog food,bag of dog food,一袋狗粮
14632,smartphone,smartphone,智能手机
14633,ignition starter,ignition starter,点火启动器
14634,pipe,pipe,管
14635,reading glasses,reading glasses,眼镜
14636,nail,nail,指甲
14637,some tape,some tape,一些带子
14638,chldren,chldren,儿童
14639,furniture polish,furniture polish,家具上光剂
